Alpha,Gamma,Epsilon,Average Reward
0.8,1.0,0.6,-0.127
0.8,1.0,0.7,-0.182
0.8,1.0,0.8,-0.127
0.8,1.0,0.9,-0.17
0.8,1.0,1.0,-0.213
0.9,0.1,0.1,-0.105
0.9,0.1,0.2,-0.133
0.9,0.1,0.3,-0.143
0.9,0.1,0.4,-0.147
0.9,0.1,0.5,-0.143
0.9,0.1,0.6,-0.155
0.9,0.1,0.7,-0.136
0.9,0.1,0.8,-0.14
0.9,0.1,0.9,-0.107
0.9,0.1,1.0,-0.198
0.9,0.2,0.1,-0.107
0.9,0.2,0.2,-0.116
0.9,0.2,0.3,-0.124
0.9,0.2,0.4,-0.069
